"Label","Hawaii County, Hawaii!!Estimate","Hawaii County, Hawaii!!Margin of Error"
"Total:","201,513","*****"
"    White alone","66,070","±2,100"
"    Black or African American alone","826","±485"
"    American Indian and Alaska Native alone","1,628","±2,067"
"    Asian alone","47,011","±5,110"
"    Native Hawaiian and Other Pacific Islander alone","23,588","±2,444"
"    Some other race alone","3,494","±3,008"
"    Two or more races:","58,896","±5,572"
"        Two races including Some other race","553","±370"
"        Two races excluding Some other race, and three or more races","58,343","±5,581"