"Label","Jefferson County, Kentucky!!Estimate","Jefferson County, Kentucky!!Margin of Error"
"Total:","766,757","*****"
"    White alone","546,872","±2,349"
"    Black or African American alone","171,781","±3,133"
"    American Indian and Alaska Native alone","1,302","±482"
"    Asian alone","22,829","±1,186"
"    Native Hawaiian and Other Pacific Islander alone","502","±87"
"    Some other race alone","5,032","±1,646"
"    Two or more races:","18,439","±3,205"
"        Two races including Some other race","642","±507"
"        Two races excluding Some other race, and three or more races","17,797","±3,117"