"Label","Nantucket County, Massachusetts!!Estimate","Nantucket County, Massachusetts!!Margin of Error"
"Total:","11,168","*****"
"    White alone","9,748","±409"
"    Black or African American alone","871","±369"
"    American Indian and Alaska Native alone","32","±35"
"    Asian alone","71","±52"
"    Native Hawaiian and Other Pacific Islander alone","7","±14"
"    Some other race alone","95","±116"
"    Two or more races:","344","±192"
"        Two races including Some other race","88","±101"
"        Two races excluding Some other race, and three or more races","256","±164"